#,Player,gp - gs,g,A,pts,sh,sh%,sog,sog%,gwg,FPG,FPS,GB,to,ct,dc,fouls,RC-YC-GC
24,"Tyrrell, Emma",22-22,70,22,92,135,0.519,102,0.756,4,12,26,21,29,7,6,7,0-0-3
1,"Adamson, Olivia",22-22,58,25,83,109,0.532,77,0.706,1,14,22,12,29,7,6,9,0-0-5
44,"Ward, Emma",22-22,44,37,81,90,0.489,69,0.767,2,5,12,10,32,3,0,5,0-0-2
15,"Smith, Natalie",21-21,44,10,54,91,0.484,68,0.747,3,14,27,11,24,8,36,26,0-6-4
6,"Rowley, Payton",19-0,23,15,38,55,0.418,42,0.764,2,5,9,5,15,1,0,0,0-0-2
49,"Baxter, Maddy",22-22,30,6,36,64,0.469,44,0.688,0,6,12,14,20,12,14,26,0-5-7
35,"Sweitzer, Savannah",21-0,24,9,33,54,0.444,39,0.722,0,2,7,8,16,0,0,6,0-2-2
5,"Muchnick, Emma",22-0,14,13,27,42,0.333,30,0.714,0,4,11,15,27,5,20,16,0-3-0
33,"Caramelli, Joely",22-0,11,3,14,28,0.393,20,0.714,3,2,4,10,14,10,1,12,0-4-0
19,"Britton, Gracie",17-0,7,4,11,17,0.412,11,0.647,0,1,3,1,9,0,0,0,0-0-0
28,"Rode, Meghan",9-0,8,1,9,11,0.727,8,0.727,1,0,0,3,7,0,0,0,0-0-0
3,"Banks, Ryann",4-0,0,1,1,1,0.0,0,0.0,0,0,0,0,1,0,0,0,0-0-0
12,"Goodale, Katie",21-21,0,1,1,4,0.0,1,0.25,0,0,1,43,9,45,47,45,0-2-5
16,"Vandiver, Coco",22-22,0,1,1,1,0.0,0,0.0,0,0,0,19,6,18,2,21,0-4-5
20,"Rich, Mackenzie",10-0,0,1,1,2,0.0,1,0.5,0,0,0,4,5,2,0,1,0-0-0
31,"Simkins, Hallie",22-22,0,1,1,0,0.0,0,0.0,0,0,0,26,9,18,0,41,0-1-0
4,"Benoit, Kaci",22-22,1,0,1,3,0.333,2,0.667,0,0,0,21,4,15,4,17,0-4-0
30,"Clark, Superia",9-0,1,0,1,1,1.0,1,1.0,0,0,0,1,2,0,2,2,0-0-0
0,"Guyette, Daniella",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,3,0,0,0,0-0-0
2,"Sweitzer, Delaney",22-22,0,0,0,0,0.0,0,0.0,0,0,0,54,9,25,0,1,0-0-0
7,"Horvit, Ana",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,0,0,1,0-0-0
8,"Mashewske, Kate",22-22,0,0,0,2,0.0,2,1.0,0,0,0,1,23,1,234,26,0-0-0
9,"Basciano, Julia",9-1,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,5,0-0-1
10,"Wooters, Faith",5-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0
17,"Olsen, McKenzie",21-1,0,0,0,4,0.0,2,0.5,0,0,1,2,1,2,0,4,0-0-2
18,"Desimone, Carlie",9-0,0,0,0,1,0.0,1,1.0,0,0,0,0,2,0,0,0,0-0-0
25,"Blesi, Ella",8-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,0,1,1,0-0-0
27,"Lahah, Izzy",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,0,0,1,0-0-0
32,"Gentle, Gwenna",1-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0
34,"Bethea-Jones, Chloe",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0-0-0
36,"Johnston, Evan",6-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,3,0,0,0-0-0
45,"Chevarie, Bianca",22-22,0,0,0,1,0.0,1,1.0,0,0,0,40,5,27,3,35,0-4-0
50,"Paulson, Tate",1-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0
77,"Call, Lauren",5-0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,5,1,0-0-0
Â,Total,22,335,150,485,716,0.468,521,0.728,16,65,135,327,316,210,384,318,0-35-380
Â,Opponents,22,213,108,321,551,0.387,366,0.664,6,45,103,351,335,170,234,373,0-54-630
